"","race","period","sex","age","foi_mean","foi_cri_lb","foi_cri_ub"
"762","Non-Hispanic Black",1992,"Male",54,0.00699281573942874,0.00436651996781995,0.0106363306875889
"763","Non-Hispanic Black",1992,"Male",55,0.00667750041163802,0.00412926075046008,0.0102750040435692
"764","Non-Hispanic Black",1992,"Male",56,0.00637463065862177,0.0039039904569804,0.00992240944625103
"765","Non-Hispanic Black",1992,"Male",57,0.00608387966711805,0.00369019965561931,0.0095785784193325
"766","Non-Hispanic Black",1992,"Male",58,0.00580491359524406,0.0034852883255286,0.00924352363074472
"767","Non-Hispanic Black",1992,"Male",59,0.00553739342124864,0.00329074922802668,0.00891723978802762
"768","Non-Hispanic Black",1992,"Male",60,0.00528097664974427,0.00310875897271799,0.0085997045716728
"769","Non-Hispanic Black",1992,"Male",61,0.00503531887732132,0.00293992356838077,0.00829087959721725
"770","Non-Hispanic Black",1992,"Male",62,0.00480007522068427,0.00277639222915071,0.00799071139734016
"771","Non-Hispanic Black",1992,"Male",63,0.00457490161147007,0.00262152042273491,0.00769913241574482
"772","Non-Hispanic Black",1992,"Male",64,0.00435945596273161,0.002474868258618,0.0074160620051845
"773","Non-Hispanic Black",1992,"Male",65,0.00415339921271101,0.00233608671162066,0.00714140742260186
